1999,1,1,141.9,58.3,284.7,208,233.4,253,5.1,142.4,58.9,9.3,266.3,290.1,2921.4
2000,1,1,238.8,9.8,28.2,36.8,60.5,236.9,173.7,65.4,168.5,131.5,213.4,108.5,2712
2001,1,1,162.3,135.3,201.1,65.6,179.9,2.2,120.7,13.8,283.7,29,229.5,189.8,1992.9
2002,1,1,,,164.3,19.4,192.1,163.8,57.9,5.3,235.7,,246.7,116.3,1641.5
2003,1,1,58.6,140.3,132.8,230,153.3,178,6.5,77.3,95.6,93.8,146.3,118.2,1760.7
2004,1,1,183.7,68,8.7,249.2,24.7,0.7,94.8,25.2,284.6,263.8,243.1,242.4,2148.9
2005,1,1,2.1,169.7,113.4,189,181.7,219.7,57.4,9.6,165.7,17.4,39.9,200.6,2226.2
2006,1,1,252.3,91,272.7,245.7,201.1,289.3,55.8,5.3,7.9,258.3,165.6,242.3,2147.3
2007,1,1,78.6,9.6,190.6,1.4,283.6,51.7,164.4,149.1,185.4,20.8,31.2,290.1,2476.5
2008,1,1,127.7,240.2,199.1,191.6,0.9,22.3,99,194.6,146,163.7,50,177.3,2712.4
2009,1,1,195.8,163.4,269.7,234.3,214,196.3,53.6,0.9,51.4,95,143.4,169,1866.8
2010,1,1,11.5,19.4,122.7,91.8,250.4,156.8,68,231.2,268.6,285.9,531.5,277.3,2915.1
2011,1,1,78.3,231.7,157.6,48.8,142.8,221.4,201,99.9,199.2,79.3,76.2,23.7,2959.9
2012,1,1,56.4,122.4,181.8,13.3,273.4,97.2,72,73.3,68.6,15.3,255.3,176.5,2305.5
2013,1,1,1.5,194,238.3,194.1,14.4,78.9,29.1,97.1,162.9,277.7,296,208.9,2132.9
2014,1,1,101.1,170.7,223.5,265.7,136.5,0.3,12.3,53.2,119.4,234.7,,,1397.4
